full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
matty_cash,Aston Villa,DF,4.4,5,Spurs,False,45,-1,32,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,1,0,0,0,-7,4.0,3.1,0.0,0.7,3,0,0,3,0,0.00,0.00,0.00,0.92,44,-105428,542880,5264,110692
tyrone_mings,Aston Villa,DF,4.5,5,Spurs,False,90,3,33,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,10,27.4,0.6,0.0,2.8,12,3,1,13,1,0.00,0.00,0.00,1.56,45,-1624,41769,3533,5157
pau_torres,Aston Villa,DF,4.5,5,Spurs,False,0,0,34,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-9138,34289,237,9375
lamare_bogarde,Aston Villa,MD,5.0,5,Spurs,False,0,0,35,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-487,6803,474,961
ian_maatsen,Aston Villa,DF,4.5,5,Spurs,False,0,0,36,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-30695,58351,548,31243
victor_lindelöf,Aston Villa,DF,4.5,5,Spurs,False,90,1,37,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,1,18.8,10.0,0.0,2.9,6,2,0,6,1,0.00,0.00,0.00,1.56,45,-415,33907,3502,3917
andrés_garcía,Aston Villa,DF,4.0,5,Spurs,False,0,0,38,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-7021,171537,7152,14173
kosta_nedeljkovic,Aston Villa,DF,4.0,5,Spurs,False,0,0,39,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1273,14409,0,1273
emiliano_buendía stati,Aston Villa,MD,5.9,5,Spurs,False,90,12,41,48,2026-09-19T11:30:00Z,2,3,False,1,0,0,2,0,0,0,0,0,0,3,50,61.0,36.3,35.0,13.2,2,6,7,15,1,0.14,0.07,0.21,1.56,59,-16876,94622,6405,23281
leon_bailey,Aston Villa,MD,5.4,5,Spurs,False,0,0,44,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-1648,6080,0,1648
john_mcginn,Aston Villa,MD,5.4,5,Spurs,False,83,6,45,48,2026-09-19T11:30:00Z,2,3,False,0,1,1,0,0,0,0,0,0,0,0,19,23.0,33.5,0.0,5.7,2,4,0,6,1,0.00,0.04,0.04,0.78,54,-5772,240695,18814,24586
ross_barkley,Aston Villa,MD,5.0,5,Spurs,False,6,1,46,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,3,0.6,0.8,0.0,0.1,1,3,0,4,0,0.00,0.00,0.00,0.78,50,-1310,28594,2694,4004
boubacar_kamara,Aston Villa,MD,5.0,5,Spurs,False,83,6,47,48,2026-09-19T11:30:00Z,2,3,False,0,1,1,0,0,0,0,0,0,0,0,26,21.0,13.2,4.0,3.8,1,3,2,6,1,0.12,0.01,0.13,0.78,50,-2746,32641,1988,4734
amadou_onana,Aston Villa,MD,4.9,5,Spurs,False,0,0,48,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-137,1654,66,203
samuel_iling-junior,Aston Villa,MD,5.0,5,Spurs,False,0,0,49,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-20,169,0,20
