date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2026-01-24,10,Connacht,Leinster,,8.0,23,34,3.0,-2.0,1.2,-3.0,-3.0,15.8,1,,
2026-01-24,10,Scarlets,Ulster,,7.5,27,22,5.0,0.0,-6.6,1.0,6.0,10.5,0,,
2026-01-24,10,Stormers,Sharks,,-11.0,19,30,6.0,4.0,2.3,8.0,-4.0,-4.3,-3,Sharks,W
2026-01-24,10,Zebre,Glasgow,,20.5,21,26,-3.0,-5.0,-5.6,3.0,0.0,13.0,0,,
2026-01-30,11,Benetton,Scarlets,,-11.5,20,20,-2.0,-4.0,-2.8,-7.0,1.0,-2.7,1,,
2026-01-30,11,Glasgow,Munster,,-5.0,31,22,2.0,-1.0,8.5,1.0,-2.0,3.9,-1,,
2026-01-31,11,Leinster,Edinburgh,,-7.0,28,20,-2.0,-2.0,15.0,2.0,0.0,-3.2,0,,
2026-01-31,11,Lions,Bulls,,5.0,17,52,-6.0,3.0,-5.7,-2.0,1.0,0.3,-1,,
2026-01-31,11,Ospreys,Dragons,,-6.0,19,13,6.0,0.0,-4.3,-1.0,6.0,-8.7,2,,
2026-01-31,11,Sharks,Stormers,,2.5,36,24,-3.0,-3.0,-0.4,3.0,3.0,5.2,-1,,
2026-01-31,11,Ulster,Cardiff,,-11.5,21,14,7.0,5.0,9.2,2.0,0.0,-1.3,-2,,
2026-01-31,11,Zebre,Connacht,,5.5,15,31,-2.0,-4.0,-14.5,2.0,-3.0,1.6,-3,Connacht,W
2026-02-21,8,Lions,Sharks,,-6.0,34,22,1.0,2.0,-5.3,8.0,-2.0,2.2,-3,Sharks,L
2026-02-27,12,Cardiff,Leinster,,6.5,8,7,-3.0,1.0,3.5,3.0,-1.0,4.4,-3,Leinster,L
2026-02-27,12,Edinburgh,Scarlets,,-12.0,24,19,-3.0,-1.0,2.0,-5.0,2.0,-1.9,1,,
2026-02-28,12,Bulls,Sharks,,-13.0,41,12,-1.0,2.0,4.9,8.0,-3.0,-3.2,-5,Sharks,L
2026-02-28,12,Connacht,Glasgow,,-3.0,15,10,-9.0,-2.0,-8.6,1.0,0.0,5.3,-2,,
2026-02-28,12,Dragons,Benetton,,-3.5,15,15,-2.0,6.0,-5.1,5.0,-5.0,3.7,-5,Benetton,W
2026-02-28,12,Lions,Stormers,,5.5,24,10,-8.0,3.0,-3.7,-8.0,2.0,4.6,-1,,
