date,home,away,line,system_num,system_bet,result,last_cover,cards,kicking,red_zone,long_haul,tour_leg2,derby,big_line,line_move
2026-04-17,Ulster,Leinster,-4.5,-4,Leinster,W,0,0,-1,0,0,0,-1,0,0
2026-04-18,Benetton,Munster,3.0,-1,,,1,1,-1,0,0,0,0,0,0
2026-04-18,Lions,Glasgow,-6.5,-1,,,0,0,0,1,1,0,0,0,0
2026-04-18,Ospreys,Sharks,-1.0,-1,,,-1,-1,0,1,1,0,0,0,0
2026-04-18,Scarlets,Cardiff,-2.0,-3,Cardiff,W,1,1,-1,0,0,0,-1,0,0
2026-04-18,Stormers,Connacht,-20.5,0,,,0,1,0,0,1,0,0,1,0
2026-04-24,Cardiff,Ospreys,-1.5,-1,,,0,-1,0,0,0,0,-1,0,0
2026-04-24,Edinburgh,Sharks,4.5,1,,,1,0,-1,-1,1,1,0,0,0
2026-04-24,Zebre,Dragons,-2.5,-1,,,-1,0,1,0,0,0,0,0,0
2026-04-25,Benetton,Leinster,13.0,1,,,1,-1,-1,0,0,0,0,0,0
2026-04-25,Lions,Connacht,-16.0,-3,Connacht,W,0,1,-1,0,1,1,0,1,0
2026-04-25,Munster,Ulster,-23.5,-1,,,-1,1,1,0,0,0,-1,1,0
2026-04-25,Scarlets,Bulls,13.5,1,,,1,1,0,1,1,1,0,0,0
2026-04-25,Stormers,Glasgow,-7.5,-2,,,0,1,-1,0,1,1,0,0,0
2026-05-08,Glasgow,Cardiff,-15.5,1,,,1,1,-1,0,0,0,0,1,0
2026-05-08,Ulster,Stormers,1.0,1,,,1,1,-1,1,1,0,0,0,0
2026-05-09,Bulls,Zebre,-33.5,-2,,,1,1,-1,-1,1,0,0,1,0
2026-05-09,Connacht,Munster,-4.5,-1,,,0,0,-1,1,0,0,-1,0,0
2026-05-09,Dragons,Edinburgh,1.5,-2,,,0,1,-1,0,0,0,0,0,0
2026-05-09,Leinster,Lions,-12.5,1,,,1,-1,-1,1,1,0,0,0,0
2026-05-09,Ospreys,Scarlets,-6.0,-1,,,1,1,-1,-1,0,0,-1,0,0
2026-05-09,Sharks,Benetton,-10.5,-1,,,1,0,-1,1,1,0,0,0,0
2026-05-15,Cardiff,Stormers,8.0,-3,Stormers,L,0,1,1,0,1,1,0,0,0
2026-05-15,Edinburgh,Connacht,4.5,3,Edinburgh,L,1,1,0,0,0,0,0,0,0
2026-05-15,Ulster,Glasgow,8.0,-2,,,0,1,1,0,0,0,0,0,0
2026-05-16,Bulls,Benetton,-25.5,-3,Benetton,L,-1,-1,1,-1,1,1,0,1,0
2026-05-16,Leinster,Ospreys,-21.5,1,,,-1,1,1,0,0,0,0,1,0
